author,datePublished,reviewRating,description,name
Doris H.,2021-01-31,5,Ive ordered from Mila a few times before on UberEats and I was beyond impressed each time I got to go in person today and still does not disappoint First things first I am not a vegan but I love trying plant based foods The first time I ordered the Aburi Lox Oshi Sushi I was blown away as I truly could not tell the difference and the texture felt so close to the actual thing Today I ordered the Bento Lunch which came with the Kuri Curry Soup Yam Tempura and a choice of a half sushi roll of the Aburi Lox Oshi or the Mila Roll and of course I went for the Aburi Lox since its got such amazing flavour It only came to 12 It was definitely enough to feed me but I definitely could have eaten more if I wanted to I also got the Isla Nublar cocktail which is dangerous since Im obsessed with it now and the Sakura cocktail which has an edible flower in it Super cute My friend ordered the fish n chips and she has been a vegetarian for a loooong time and said that it was awesome We are definitely coming back here again,MILA Plant-Based
Elvi R.,2020-10-27,5,I had been waiting a while to go check out MILA Was so happy that I decided to go here for my birthday dinner It did not disappoint Before I even got to the restaurant I looked at the menu and already had a hard time ordering since everything sounded so good We finally decided to get the Bao Buns the Tagliatelle the Bulgogi tacos and the carrot lox oshi Everything was AH-MAZING 10/10 for all the dishes I ordered The one little thing that bugged me a little was the price for the Oshi I did find it a little on the pricey side especially cause theres no fish in it So I dont think that I would order that again Other than that I cant wait to go back to try more items on their menu,MILA Plant-Based
Jill N.,2020-11-11,5,Some of the best vegan food Ive ever had We had an amazing bottle of little Engine Chardonnay recommended by the sommelier who was very knowledgeable and patient with us The Aburi sushi was to die for as well as the mushroom toast The boa buns were very tasty too Burger was top notch and the Harvest Salad and Tagliatelle was also phenomenal Highly recommend,MILA Plant-Based
Coco L.,2021-10-24,5,Such a good brunch spot Everyones meals were fire and the mimosa flight was awesome 10/10 recommend,MILA Plant-Based
Kristie W.,2020-09-28,4,I was too excited when I caught word of a new vegan place that served not only usual burgers wraps and buddha bowls On my first visit I tried the Salmon Lox Oshi bao buns and sausage pesto tagliatelle The salmon oshi looks exactly like a Miku style salmon oshi and it pretty well tastes identical except for the fact that a slice of carrot replaces the usual torched salmon The bao buns contain a thick serving of tempeh that is surprisingly tender and picks up the flavors of the two sauces used in the bun The pesto tagliatelle was yummy and you just about forget that the sausage is plant-based Overall the dishes have no flaws but they are not particularly novel or mind blowing Their cocktails menu looks awesome as well Still the meal ends up being rather pricey for casual dining roughly 60 after tax and tip for 2 appies and a main without any drinks Cocktails are about 15 a piece You also need to make a reservation well in advance even for a party of two and especially on a weekend,MILA Plant-Based
Leeza N.,2021-07-20,4,Finally got the chance to try Mila for a late lunch yesterday since they were open for indoor dining The tables inside are very spacious and clean there is also a huge bar as well The servers were very nice and informative about the menu I decided to get the smashed chips and the mila roll and my friend got a kale caesar salad since shes allergic to eggs this was her first time trying a caesar salad The smashed chips came out first and they were SO GOOD It was kind of like home style fries that you get at brunch but more crunchier and flavourful due to the miso garlic butter and it came with a sambal ginger aioli sauce which tasted so amazing tasted kind of like chipotle sauce without the smokiness Next my mila roll and my friends kale caesar salad came out The mila roll was plated so nicely with drizzles of wasabi mango mayo and crunchy toppings The roll itself consisted of avocado cucumber and heart of palm mix which resembled the texture of unagi It was so delicious I honestly didnt even feel like it was plant based My friends kale caesar salad was so good as well the dressing was amazing and the kale leaves were not too salty at all My friend also got a cocktail yesterday and she said it was so good but I forgot the name To finish off our meal we ordered the churros to share The churros were garnished with pistachios and a rose cardamom syrup As much as they were delicious the churros were TINY and for 8 I expected to get long churros but it was very small and a bit dissapointing which is why I had to take off a star because everything else portion wise was amazing I definitely will return to Mila with my vegan friends soon to try other items on their menu,MILA Plant-Based
Cherry W.,2021-03-08,4,They have a max 2 hour sitting and everything is partitioned Quite cute aesthetic The food that I had tried was really yummy but definitely on the pricer side The portions are smaller which is why I gave them 4 stars I saw a lot of people getting drinks and tasting trays so maybe that is why their portions are smaller If you are looking for a place/brunch to fill you up I dont know if this is the place for you Their Aburi Lox is really something else and I totally recommend getting it The way they treat the carrot is fantastic to be like salmon If you like Aburi sushi but dont like the fishy taste of salmon this is for you The Crab Benedict is good However with the soft tofu as the egg and the hollandaise sauce it really overpowers/overshadows the crab which I really couldnt taste With the price point I dont know if it is really worth it I wish they gave more smashed potatoes,MILA Plant-Based
Chloe C.,2021-02-08,5,Was disappointed by my first brunch visit but my second visit was much better Glad I gave their brunch a second chance Tempeh Rib Hash 5/5 Amazing crispy potatoes with tempeh mushrooms and tofu scramble topped with a delicious and creamy gochujang mayo  whats not to love Crab Cake Benedict 5/5 The crab cake was the star of the show It was so delicious Ive never had hearts of palm before but now Im sold The tofu egg was okay but the hollandaise could be creamier and the flavour needs some adjustment The side crispy potatoes are literal crack  Breakfast Baos 4/5 The bao was fluffy and the sambal aioli was creamy and flavourful The textures were a bit one dimensional and the tofu scramble with the bao was quite tasteless once you run out of aioli The bacun was a nice touch but the strip was way too tiny The buns needed more aioli and double the bacun Quiche 2.5/5 This was a soggy unattractive mess Looked nothing like the pictures No pie crust at all which is the best part The dill yoghurt was not good and almost ruined the whole dish It was just a pile of tofu scramble with some unseasoned carrots Not impressed PBJ Waffles 1/5 Another dish which fell way short of my expectations Definitely not worth the hype The only good thing was that the waffles were crispy and the peanut butter was tasty The waffles had a weird rosemary/thyme flavour that did not work with the other components of the dish The amount of peanut butter was abysmal just a drizzle and the whole dish was just a bunch of confusing flavours Definitely get the hash and the crab cake benny and maybe the breakfast baos Would skip the other items,MILA Plant-Based
Nicole B.,2021-02-03,4,Recently learned about this spot through the juice truck I was enticed by all the wonderful pictures on IG and was needing a new plant based spot in the mix I think the photos speak for themselves Gluten friendly options and I was able to steer clear from seitan I enjoyed this moderately priced  clean environment,MILA Plant-Based
Bekah H.,2021-10-10,1,So disappointed All the food looked so good but everything had such a weird taste The Romesco pasta was ok but the veggies accompanying it had a strong stringent taste that made me gag The bao buns also looked appetizing but the tempeh was flavored in an odd way I really cant describe what it is making these dishes off but I was surprised it was as bad as it was Even the peanut butter cup pie wasnt anything to rave about Looked nice but was just meh,MILA Plant-Based
Becky T.,2021-08-02,5,The pho is yummy Broth is very flavorful and lots of veggies and some tofu Will be back to try the other items,Lotus Seed Vegan
Charly S.,2021-05-12,5,I stopped here specifically for the Vegan Benny a month or so ago and Im happy to report it met my craving and was very tasty and hit the spot I also tried the chaga tea latte and I really enjoyed it The food was well prepared and well presented The owners are lovely kind and welcoming I also bought the plant based omelette mix to take home and I really enjoyed the flavour/texture if you pick it up remember to follow the directions carefully I didnt and I could see in hindsight the errors of my ways  haha  but it was still very tasty,Lotus Seed Vegan
Donna D.,2020-12-03,4,In need of a sit down meal after running around Broadway Lotus Seed is a vegans choice spot I came here for lunch again after a day of errands and shopping We were greeted and got safely seated in a distanced table My partner and I ordered the baked spring rolls a meatless ball sandwich vietnamese coffee and a macaroon Everything was delish We split both meals to try each and were very satisfied with our choice The meatless ball sandwich was filling a light it was perfectly dosed in sauce so nothing was dry about it If Im in the area and have time for sit down vegan Id def visit again,Lotus Seed Vegan
Lily D.,2021-07-29,5,I love this restaurant My favourite dish so far is the poke bowl I also really love the blue flame smoothie Everything Ive tried so far is so delicious Definitely one of my favourite restaurants,Lotus Seed Vegan
Gurpreet S.,2021-10-24,1,I am very surprised that this place has close to five stars My husband and I came in 40 minutes prior to closing hoping to find some vegetarian friendly food As we walked in and before we could say anything we were told that they were about to close that if we wanted anything it needs to be take out We went ahead and ordered some food The kitchen is visible from the front of the restaurant and the preparation was not sanitary The cashier helped make food and did not wash her hands she touched every item of food with her bare hands The food was also bland we ordered the Benedict just mushrooms and avocado on half burnt bread and pho tasteless For the money that they charge their food is very subpar,Lotus Seed Vegan
Chloe C.,2021-06-10,4,Their poke bowl is very flavourful with many components but could use more chipotle mayo and toppings as I was left with a lot of brown rice and quinoa at the end The thai curry wasnt my favourite as it was quite sweet due to the pineapple and had a pretty strong pineapple flavour The rice noodles also clumped together a little bit Id go with the poke bowl but not the curry A good place to grab a quick healthy meal,Lotus Seed Vegan
Fernanda G.,2020-10-21,5,This restaurant serves some of the most delicious food I tried in Vancouver I know most of their ingredients are organic and everything is made from scratch,Lotus Seed Vegan
Spring C.,2020-08-06,4,So happy to have found BAKED spring rolls I just wish they came with peanut sauce or a little more sauce  I always run out of sauce before the roll runs out I am happy that this place  at least with the dishes Ive tried  doesnt use fake meats My patties in the soup were made from seeds nuts beans  much healthier Thank you very grateful for a real vegan restaurant with real food,Lotus Seed Vegan
Ayaka H.,2018-11-29,5,Ive been searching for Vegan Asian cuisine in an all vegan establishment and Im happy to announce that Ive found one that I can rave about to everyone I naturally prefer food that isnt deep fried whenever possible so their baked spring rolls stood out at me Although it lacked the crisp of a traditional spring roll it was still bursting with flavour and the fresh variety of veg fillings made it healthy Their winner however was their Thai curry see pic  Oh my goodness if I could have their recipe Id make it all the time seriously I dont think Ive had better Thai curry anywhere else in the city Will I return Yes of course Im anticipating my next visit already Tip casual atmosphere good for quick lunches,Lotus Seed Vegan
Nicole B.,2019-09-17,1,I ordered the yellow curry dish and was thoroughly disappointed It had too much carrots and corn in it and the veg didnt taste fresh The plate was also dirty The spring rolls are baked very dry The cilantro looked old that was on the other dish When I spoke to the owner she was surprised but in the end I was reimbursed for the dish I did not enjoy the food here they menu is weird and has some pasta dishes and Vietnamese dishes it was all over the place and didnt really have a vibe that matched the name Food is sub-par lacking flavour and lukewarm,Lotus Seed Vegan
Carolyn L.,2018-06-13,4,The Thai curry was really delicious I ordered it to go and had them separate the rice noodle from the curry The portion of rice noodle looked small but it was actually a lot Looks were deceiving For non-vegans/vegetarians I jazzed up the curry by adding roast chicken meat to it when I got back That was amazing The curry was great on rice too I think I may start doing that Order the dishes to go so that I can add meat/seafood to complement the meal,Lotus Seed Vegan
Pam C.,2018-03-20,5,It has been MONTHS since I wanted to try this place and finally last night a friend who is a regular brought me here to eat some delicious vegetarian dishes The owners are Buddhists and theyre super nice Its a clean and humble restaurant near a park and a ten-minute walk from Joyce-Collingwood skytrain station I ordered their famous Thai curry with rice noodle and my friend ordered the spaghetti with Alfredo sauce Both dishes came in massive bowls with a lot of food So be careful and dont waste anything The Thai curry is flavourful and mildly spicy It is worth trying if you are in the area or want to eat some delicious vegetarian dish I had a small taste of the spaghetti with Alfredo sauce and it was really good too However it is something anyone can make at home so Id stick with my Thai curry when I come back again next time There are some parking right outside the restaurant but if its full you can go to the underground parking that is less than a minute walk away,Lotus Seed Vegan
Lauren L.,2018-12-30,5,Theres something to be said for a really good steak but honestly folks The more you all rave how you cant eat pansy vegetarian food or it just doesnt fill you up or its rabbit or girl food Sure give me those excuses but when you get clogged arteries from heavy meat and fat and a sedentary lifestyle dont come to me Im not your doctor Poor soul the doctor not you The steak lovers out there sure lets just eat steak and lobster all day but honestly what your body really needs is this place The food they make here is made with love and care and your colon and the rest of your body especially the heart will love you for it 5 stars for everything here I just wish we could have them closer to where I live ,Lotus Seed Vegan
Matt B.,2019-05-17,3,Updating my review for the new location The place is comfortable and casual Large menu now that runs the gamut from Asian mostly Vietnamese cuisine to brunch items and many other items I tried the vegan pho which was only decent  lacked flavour but was a decent portion The prices are quite high now 13.95++ for the pho which is quite a bit higher than most other places in town for a vegan pho I also dont like their embrace of pseudoscientific nonsense they use Kangen alkaline water which claims to be healthier its not and non-GMO tofu embracing the anti-GMO pseudoscientific nonsense that many unthinking folk have bought into Overall decent but didnt captivate me to come back any time soon,Lotus Seed Vegan
Thomas C.,2020-02-28,5,New location even better food Highly recommend the sunny paté sub Especially if you like tuna sandwiches They have also been adding more daiya cheese lately which is just the cherry on top The food in combination with complimentary kangen water just makes this place 11/10,Lotus Seed Vegan
Teresa V.,2018-12-27,1,Came here because Ive always wanted to try their vegan Vietnamese coffee I was very disappointed in the taste of this drink Being Vietnamese and having drank a lot of their coffee this one was way too sweet Vietnamese coffee is know for its strong coffee flavour Secondly the almond condensed milk added a nutty flavour which I didnt like As well there was way too much ice which diluted the whole coffee flavour,Lotus Seed Vegan
Sara A.,2017-07-21,4,We had the following Lotus Seeds Pho  it is a slow boiled soup for over 6 hrs they use KANGEN water here with fresh broccoli zucchini carrots daikon and lotus root along with herbs  aromatic spices and non GMO tofu The soup was very tasty I will re-order next time Baked Spring Roll with mung bean vermicelli auricularia carrot  taro root It was very tasty but a bit too gingery for me Smoothies were delicious Great customer service too,Lotus Seed Vegan
Phi G.,2019-09-10,2,I stumbled upon this place during a walkabout Decided to give it a go without looking up reviews I will say that Im the 1% that does not like this place Thai Curry was too sweet for me I have become hypersensitive to sugars in food It ruined the dish and I couldnt continue Salad roll good but broke apart due to wet mushrooms Flavors were there if it could only stay together The food here seems like mediocre home cooking I supposed for vegans its food heaven but its slightly better than grocery deli section Overall disappointing that I had to go find something to fill me up afterwards Even now looking at the pictures makes me say yeah no not coming back ever,Lotus Seed Vegan
Jess S.,2018-09-23,3,Ive heard so many good things about this place and was super excited to check it out The place is small but offers so many awesome options for vegans and vegetarians plus GF If you have sensitivitys to garlic and ginger check this place too The staff are nice and very efficient I ordered the tofu satay which comes with salad a spring roll brown rice and two skewers of tofu veggies and pineapple The flavour is nice and the portion is big It wasnt what I was expecting and wished there was more sauce I also ordered the brown rice Alfredo It comes with mushrooms and sun-dried tomatoes Definitely a unique take on Alfredo but again not what I was expecting Prices are good and portions are excellent I will definitely try this place again,Lotus Seed Vegan
Kate T.,2018-07-20,5,Came here for the 1st time and had the grilled satay platter on rice noodles  so delicious healthy and a huge portion Im so stuffed The satay sauce on the veg  tofu skewers was delicious,Lotus Seed Vegan
José Luis R.,2021-06-07,5,Crispy BBQ Burger Amazing you need to try Sweet Chili Cauliflower you need to try The Jalapeño Vodka Caesar very tasty as well you should try it,MeeT in Gastown
Sofie P.,2021-05-21,4,I got the first dose of the vaccine last week and decided to treat myself I was in the area anyway and only had to wait 20 or so minutes for a table for 1 take yourself out on a date Highly recommend I tried the Cauliflower starter for the first time and man oh man is it yummy To make it a meal I also got the TeeM Poutine which was as delicious as always Service was amazing  everyone was sitting outside for safety reasons obviously and it was getting late and a bit chilly and a few staff members brought out the heating lamps on request which was great My only complaint not really complaint but just like dang was the price of the cauliflower bites You get 5 wings so its not really evenly shareable if you WERE to split and its 11.5 I personally find this incredibly pricey for what you get Still massive bill aside this is definitely one of my fave restaurants and you will be sure to find something you like,MeeT in Gastown
Ruth H.,2021-11-12,1,We are visiting Canada I called the restaurant to make sure its possible to be seated Upon arrival we were asked to show a proof of vaccination which we had scanned in our iPhone and a photo ID which we also had scanned It was raining and we walked from our hotel with no ID The receptionist refused to let us in She just refused to let us in and the scanned IDs were not good enough for her We ate somewhere else with no issues whatsoever,MeeT in Gastown
Jill N.,2021-02-27,5,Agatha our server was awesome and went above and beyond Literally made our night Wow the chefs are also ON POINT  one of the best vegan cheesecakes I think Ive ever had Paired with coconut vanilla vegan ice cream Delicious For dinner I got the Seoul Bowl  my friend got the Caesar Salad with Kalamari mushroom calamari Both were fab ,MeeT in Gastown
Matt B.,2021-03-06,4,Only this location currently at least now offers brunch everyday from 11am-4pm so we had to try it out Pretty gigantic brunch menu with all sorts of creative items I ordered the Steak  Mushroom Benny 16.75 plus tax and my wife ordered the B.E.S.T Bacun English muffin Sausage  Tofu egg Breakfast Sandwich through DoorDash and our order was delivered in about half an hour  awesome Massive portions as Meet has become known for The Benny was an explosion of flavour from the steak soycurls sauteed mushrooms crispy onions and tofu egg with a really thick decadent hollandaise sauce You get two massive bennies so this alone would be enough to fill you up The dish also comes with salad and an emorious portion of home fries The salad is fine with a very pungent dressing you need less than half of what they give you and the home fries were battered and mega-deep fried  honestly I didnt like these fries  way too oily/greasy and heavy But the bennies themselves were delicious Same deal with the B.E.S.T  a pretty decadent sandwich with the bacun sausage and egg  which also comes with the same side salad and fries Overall this is really heavy greasy salty food Its a treat once in a while and the execution is very good on the main parts of the dishes Id rather some nice roasted breakfast potatoes or at least something less heavy/greasy Reasonably priced for the portion Glad that Meet exists and is doing such interesting stuff Recommended,MeeT in Gastown
Chloe C.,2021-01-23,5,Their new brunch is freaking amazing Great portions decent prices Lots of variety to choose from I wish I had enough stomach space to try everything Steak and Mushroom Benny 5/5 The soy curl steak and mushrooms were flavourful The hollandaise was creamy and delicious the tofu egg had a great texture and the mayo was so creamy and tasty The english muffin was good too The side salad was decent but could use more dressing The potatoes were nice and crispy but a bit too salty The buffalo sauce was creamy but a little too spicy for me BLT 5/5 The bread was fluffy the tofu scramble was great the bacon I think it might be Happy Veggie World had a good texture and flavour and the mayo tied everything together nicely Also comes with a side salad crispy potatoes and buffalo sauce Chikn and Waffles 5/5 Could use more chikn deep fried mushrooms but still delicious Waffles are super moist and tasty  you cant tell that theyre gluten free Im normally super skeptical of gf things but I was pleasantly surprised BBQ Baked Beans 5/5 Very delicious The bbq flavour was great and made these more unique than regular tomato baked beans Fried Egg 5/5 I believe this is the Happy Veggie World fried egg Was not disappointed as it was quite realistic and very delicious Would go to Vegan Supply to pick up some of these to make myself at home for sure Maple Mustard Mayo 4/5 I hated it at first but the more I ate it the more I liked it Definitely has a sharp tangy wasabi-like mustard kick to it Could be heavier on the maple flavour as it didnt really come through,MeeT in Gastown
Celine Z.,2021-11-07,5,It was our first night driving into Vancouver and we happened to walk by Not only was our server Emma so wonderful and welcoming the food was fantastic We ordered the Seoul Bowl and the Double Double burger Overall great energy and service definitely would recommend,MeeT in Gastown
Elvi R.,2020-08-04,5,Went twice in one weekend for their weekly feature Ive been to the Main St  the Yaletown location many times but I rarely come to the Gastown one The staff is super friendly I love how they expanded their patio outside Much more space now to enjoy your meal Al Fresco I had the Caesar salad with kalamarifor the first time ans it was really delicious it was topped with a vegan tzatziki Yum Their Mac  Cheeze is packed with so much flavour My little one really enjoyed it its pretty much the only thing that we order for him when we go to Meet I wish they had a kids menu or more kid friendly options,MeeT in Gastown
Manbir R.,2020-06-08,4,I was happy to have meet doors open after covid 19 shut down Good to be back here Its vegetarian peoples heaven All sort of colour ful dishes tingles your taste buds and fullfill your appetite Versatile drinks are my favourite thing here I had beet it which was a soda drink with beets n cranberry juice Kind a liked it Though u can sincerely drink just alcoholic drinks here,MeeT in Gastown
Mandarin Y.,2020-03-03,4,Ill admit I was a bit skeptical when coming here but I gotta say they exceeded my expectations I was expecting the food to be bland but everything we ordered was pretty tasty To start off our meal we ordered the artichoke spinach dip and sweet chili cauliflower The dip had a smooth creamy texture although I thought it could have used just a touch more salt The cauliflower was fried perfectly but I wasnt too fond of the sweet chili sauce As for my main I ordered the Lovely bowl and substituted the brown rice for quinoa The dish was surprisingly filling and very flavorful The dining area had a cool casual hipster vibe Service was very good and friendly I would recommend checking this place out if you are in the mood for something on the lighter side,MeeT in Gastown
Giselle M.,2020-01-14,5,It starts with a mission MeeTs mission is to help transition the mainstream to eating more plant-based foods in a friendly accepting and engaging venue from their website Not only that but they also aim to show people that comfort food that connects and nourishes us can be vegetarian/vegan delicious made from scratch and can actually be quite affordable Hands in the air for all those positive vibes My hubby and I both vegetarian/plant-based often vegan and work in the health  fitness industry first discovered MeeT late summer 2019 We were in town for a half marathon and after a long travel day we wanted/needed something nutritious fresh and delicious and to dine in a place with a fun and inviting atmosphere We pretty much hit the jackpot here at MeeT in Gastown Heres what we ordered and would recommend over and over again 1 The Big Yum 2 Organic Quinoa  Roasted Yam Salad 3 Hoochy Booch Turmeric Ginger Black Pepper Kombucha 4 House-made Ginger Shrub Beer Even if youre not necessarily vegetarian or vegan you should give this place a try I doubt youll be disappointed In fact you may just be converted  We loved the food bevy service and ambiance so much we came back again on our last night in town with a couple friends And we still talk about The Big Yum Bowl to this day,MeeT in Gastown
Bryan F.,2021-08-28,4,MeeT is definitely worth a visit They take traditional menu items and give them a complete vegan twist I definitely recommend their chicken and waffles The oyster mushrooms are delicious and the syrup compliments perfectly,MeeT in Gastown
Iris L.,2020-07-08,5,Of all the vegan desserts Ive tried from a variety of places the one Ill most come back to is the chocolate coconut ganache tart from here I ordered via Uber Eats as a late night treat and this did not disappoint It was packaged beautifully and when I opened the box the chocolate and mint combined created such a pleasant aroma The tart itself is absolutely delicious Everything about it tied perfectly together The chocolate ganache was just the right amount of sweet and when paired with the shredded coconut and vanilla creme drizzle it was like heaven for your mouth Even the crust offered a standout flavour of coconut with a soft texture that fit with the rest of the dessert well Each individual aspect had a delicious flavour and shined all on its own while combining together as a whole flawlessly If youre ever in the area I highly recommend checking out this treat If youre not make some time to Its worth it,MeeT in Gastown
Cyrah E.,2019-11-11,4,Much much better experience coming here the second time The service was good and the food even more delicious Todays order Notcho average nacho fries Butter chikkin poutine Crispy bbq burger Im glad I came back My bf and I had a great time,MeeT in Gastown
Paula F.,2019-08-16,5,Well worth the wait This plant-based restaurant is located in the heart of the Gastown in Vancouver There is a lot to do if you have to wait The indoor and outdoor seating was equivalent in size The decor is modern rustic and dimly lit in the evening The vibe during our visit was loud social and fun My daughter and I arrived at MeeT at around 6:30 pm on a Wednesday evening The restaurant was packed and we were told our wait was 20 minutes I was ready to pass but my daughter really wanted to dine here so we went for a little walk Within 10 minutes we received a text telling us our table was ready We were seated inside Two extensive menus were presented to us a drink menu and a food menu The food menu boasted several vegetarian creative comfort food items all made from scratch See my photos of the menu After much contemplation we opted for the Seoul Bowl and the Big Yum Bowl with a side of Butter Chicken The wait was reasonable for how busy it was Our bowls were colorful and plated well The taste was amazing The Seoul Bowl has more character than the Big Yum as it had many more spices and a zing to it Both were very filling The Butter Chicken was delicious and spiced like Indian Chicken Marsala It was a bit heavier than the bowls Service was outstanding Our server Ted S was professional friendly patient attentive and helpful The two single user gender neutral restrooms were basic industrial clean and functional So far this is my favorite restaurant in Vancouver 5 solid stars,MeeT in Gastown
Alannah M.,2020-12-29,3,My 4 broccoli  Hey prep team your scale broke Anyway the rest is F@$!ing off the hook but portion control is lacking Yum,MeeT in Gastown
